Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Land,2016.0,Rover,SUV,2016 Land Rover Discovery Sport TD4 HSE,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6.0,94865.0,White,"Rocklea, QLD",4.0,SUV,4.0,5.0,34926.0,Land Rover,2.2,QLD
Hyundai,2016.0,Accent,Hatchback,2016 Hyundai Accent Active,USED,Manual,"4 cyl, 1.4 L",Front,Unleaded,5.9,135990.0,Other,"Slacks Creek, QLD",4.0,Hatchback,5.0,5.0,14990.0,Hyundai Accent,1.4,QLD
Kia,2021.0,Cerato,Sedan,2021 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4,62655.0,Blue,"Rocklea, QLD",4.0,Sedan,4.0,5.0,25925.0,Kia Cerato,2.0,QLD
Volkswagen,2018.0,Tiguan,SUV,2018 Volkswagen Tiguan Allspace 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.3,56358.0,Red,"Toowoomba City, QLD",4.0,SUV,4.0,7.0,47995.0,Volkswagen Tiguan,2.0,QLD
Holden,2014.0,Barina,Hatchback,2014 Holden Barina CD,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.6,119252.0,Grey,"West Footscray, VIC",4.0,Hatchback,5.0,5.0,10999.0,Holden Barina,1.6,VIC
Honda,2005.0,Accord,Sedan,2005 Honda Accord Euro Euro,USED,Automatic,"4 cyl, 2.4 L",Front,Premium,9.4,225321.0,Grey,"Hamilton, QLD",4.0,Sedan,4.0,5.0,7500.0,Honda Accord,2.4,QLD
Mercedes-Benz,2017.0,CLA250,Sedan,2017 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9,89831.0,White,"Bentleigh, VIC",4.0,Sedan,4.0,5.0,39990.0,Mercedes-Benz CLA250,2.0,VIC
Holden,2006.0,Rodeo,Ute / Tray,2006 Holden Rodeo LX (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,0.0,334958.0,White,"Tingalpa, QLD",4.0,Ute / Tray,4.0,5.0,11990.0,Holden Rodeo,3.0,QLD
Mercedes-Benz,2018.0,GLA250,SUV,2018 Mercedes-Benz GLA250 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.0,28937.0,Grey,"Mansfield, QLD",4.0,SUV,4.0,5.0,46800.0,Mercedes-Benz GLA250,2.0,QLD
Mercedes-Benz,2013.0,E250,Coupe,2013 Mercedes-Benz E250 CDI,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,4.7,101744.0,Black,"Port Melbourne, VIC",4.0,Coupe,2.0,4.0,27980.0,Mercedes-Benz E250,2.1,VIC
Toyota,2011.0,HiAce,Commercial,2011 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,11.6,129330.0,White,"Cranbourne, VIC",4.0,Commercial,4.0,3.0,29990.0,Toyota HiAce,2.7,VIC
Kia,2019.0,Sportage,SUV,2019 Kia Sportage SI (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9,118082.0,White,"Hendra, QLD",4.0,SUV,4.0,5.0,22490.0,Kia Sportage,2.0,QLD
Honda,1999.0,Civic,Hatchback,1999 Honda Civic CXI,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.4,220374.0,Black,"Maidstone, VIC",4.0,Hatchback,3.0,5.0,6995.0,Honda Civic,1.6,VIC
GWM,2022.0,Haval,"Westpoint Haval, GWM, Mahindra, SsangYong",2022 GWM Haval Jolion Ultra,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,8.1,20.0,White,"Moorooka, QLD",4.0,SUV,4.0,5.0,32990.0,GWM Haval,1.5,QLD
Hyundai,2019.0,Tucson,SUV,2019 Hyundai Tucson Active (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9,33367.0,Other,"Kedron, QLD",4.0,SUV,4.0,5.0,28490.0,Hyundai Tucson,2.0,QLD
Toyota,2011.0,HiAce,Commercial,2011 Toyota HiAce Slwb,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,12.6,329000.0,Other,"Brooklyn, VIC",4.0,Commercial,4.0,3.0,23999.0,Toyota HiAce,2.7,VIC
Toyota,2019.0,RAV4,SUV,2019 Toyota RAV4 Edge AWD,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.3,65253.0,Other,"Keysborough, VIC",4.0,SUV,5.0,5.0,49970.0,Toyota RAV4,2.5,VIC
Nissan,2019.0,Qashqai,SUV,2019 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9,84741.0,White,"Hendra, QLD",4.0,SUV,4.0,5.0,22492.0,Nissan Qashqai,2.0,QLD
Toyota,2012.0,Yaris,Hatchback,2012 Toyota Yaris YRX,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.3,105267.0,Silver,"Brooklyn, VIC",4.0,Hatchback,5.0,5.0,14987.0,Toyota Yaris,1.5,VIC
Nissan,2020.0,Juke,SUV,2020 Nissan Juke ST-L,USED,Automatic,"3 cyl, 1 L",Front,Premium,5.8,13043.0,Blue,"Ravenhall, VIC",3.0,SUV,5.0,5.0,32990.0,Nissan Juke,1.0,VIC
Mitsubishi,2009.0,Lancer,Hatchback,2009 Mitsubishi Lancer ES Sportback,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.9,224034.0,Red,"Eagle Farm, QLD",4.0,Hatchback,5.0,5.0,6990.0,Mitsubishi Lancer,2.0,QLD
MG,2022.0,HS,Oldmac MG New,2022 MG HS +EV Phev Excite,DEMO,Automatic,"4 cyl, 1.5 L",Front,Hybrid,1.7,5.0,White,"Cleveland, QLD",4.0,SUV,5.0,5.0,45990.0,MG HS,1.5,QLD
Volkswagen,2021.0,Tiguan,SUV,2021 Volkswagen Tiguan Allspace 140 TDI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,6.4,73458.0,White,"Hendra, QLD",4.0,SUV,4.0,7.0,47772.0,Volkswagen Tiguan,2.0,QLD
Mazda,2023.0,CX-30,Ipswich Mazda,2023 Mazda CX-30 G20E Evolve M HYB Vision (fwd),DEMO,Automatic,"4 cyl, 2 L",Front,Hybrid,6.3,21.0,Grey,"Ipswich, QLD",4.0,SUV,4.0,5.0,40990.0,Mazda CX-30,2.0,QLD
Kia,2021.0,Stinger,Sedan,2021 Kia Stinger GT (black Leather),USED,Automatic,"6 cyl, 3.3 L",Rear,Unleaded,10.2,8094.0,Red,"Frankston, VIC",6.0,Sedan,4.0,5.0,63340.0,Kia Stinger,3.3,VIC
GWM,2022.0,Haval,Hillcrest GWM HAVAL,2022 GWM Haval H6GT LUX (2WD),NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,7.5,28.0,Blue,"Hillcrest, QLD",4.0,SUV,4.0,5.0,40485.0,GWM Haval,2.0,QLD
Holden,2017.0,Colorado,Ute / Tray,2017 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9.1,242056.0,White,"Williamstown, VIC",4.0,Ute / Tray,4.0,5.0,25999.0,Holden Colorado,2.8,VIC
GWM,2023.0,Haval,Kedron Haval & Great Wall Online,2023 GWM Haval Jolion Premium,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,8.1,12.0,Black,"Kedron, QLD",4.0,SUV,4.0,5.0,28985.0,GWM Haval,1.5,QLD
